TABLE_TITLE,OCTET_NO,CONTENU
"Modèle de définition du produit 4.12 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",31-34,Valeur ajustée - deuxième surface spécifiée
"Modèle de définition du produit 4.12 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",35,Prévision dérivée (voir la table de code 4.7)
"Modèle de définition du produit 4.12 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",36,Nombre de prévisions dans l'ensemble (N)
"Modèle de définition du produit 4.12 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",37-38,Fin de l'intervalle de temps complet - Année
"Modèle de définition du produit 4.12 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",39,Fin de l'intervalle de temps complet - Mois
"Modèle de définition du produit 4.12 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",40,Fin de l'intervalle de temps complet - Jour
"Modèle de définition du produit 4.12 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",41,Fin de l'intervalle de temps complet - Heure
"Modèle de définition du produit 4.12 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",42,Fin de l'intervalle de temps complet – Minute
"Modèle de définition du produit 4.12 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",43,Fin de l'intervalle de temps complet - Seconde
"Modèle de définition du produit 4.12 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",44,n Nombre des spécifications décrivant les intervalles de temps sur lesquels porte le calcul statistique du champ
"Modèle de définition du produit 4.12 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",45-48,Nombre total de valeurs manquantes dans le calcul statistique
"Modèle de définition du produit 4.12 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",49-60,Spécification de l'intervalle de temps le plus éloigné (ou intervalle de temps unique) sur lequel porte le calcul statistique
"Modèle de définition du produit 4.12 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",49,Calcul statistique ayant permis d'obtenir le champ élaboré à partir du champ à chaque incrément de temps durant l'intervalle de temps (voir la table de code 4.10)
"Modèle de définition du produit 4.12 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",50,Type d'incrément de temps entre les champs successifs employé pour le calcul statistique (voir la table de code 4.11)
"Modèle de définition du produit 4.12 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",51,Indicateur de l'unité de temps employée pour l'intervalle de temps sur lequel porte le calcul statistique (voir la table de code 4.4)
"Modèle de définition du produit 4.12 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",52-55,"Durée de l'intervalle de temps sur lequel porte le calcul statistique, exprimée dans l'unité indiquée par l'octet précédent"
"Modèle de définition du produit 4.12 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",56,Indicateur de l'unité de temps employée pour l'incrément de temps entre les champs successifs (voir la table de code 4.4)
"Modèle de définition du produit 4.12 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",57-60,"Incrément de temps entre les champs successifs, exprimé dans l'unité indiquée par l'octet précédent (voir les notes 3 et 4)"
"Modèle de définition du produit 4.12 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",61-nn,"Ces octets figurent dans le message uniquement si n>1, nn = 48 + 12 x n"
"Modèle de définition du produit 4.12 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",61-72,"Même contenu que les octets 49 à 60, pour l'étape suivante du calcul"
"Modèle de définition du produit 4.12 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",73-nn,"Spécifications des intervalles de temps supplémentaires, incluses en fonction de la valeur de n. Le contenu est le même que celui des octets 49 à 60, répétés au besoin."
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",10,Catégorie du paramètre (voir la table de code 4.1)
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",11,Numéro du paramètre (voir la table de code 4.2)
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",12,Type du processus de production (voir la table de code 4.3)
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",13,Indicateur du processus de production de base (défini par le centre d'origine)
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",14,Indicateur du processus de production de la prévision (défini par le centre d'origine)
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",15-16,Limite (heures) de tombée des données d'observation après l'heure de référence (voir la note 1)
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",17,Limite (minutes) de tombée des données d'observation après l'heure de référence
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",18,Indicateur d'unité de l'intervalle de temps (voir la table de code 4.4)
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",19-22,Heure de la prévision exprimée dans l'unité précisée par l'octet 18 (voir la note 2)
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",23,Type de la première surface spécifiée (voir la table de code 4.5)
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",24,Facteur d'échelle - première surface spécifiée
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",25-28,Valeur ajustée - première surface spécifiée
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",29,Type de la deuxième surface spécifiée (voir la table de code 4.5)
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",30,Facteur d'échelle - deuxième surface spécifiée
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",31-34,Valeur ajustée - deuxième surface spécifiée
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",35,Prévision dérivée (voir la table de code 4.7)
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",36,Nombre de prévisions dans l'ensemble (N)
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",37,Indicateur de groupe
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",38,Numéro du groupe auquel appartient la commande de haute résolution
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",39,Numéro du groupe auquel appartient la commande de basse résolution
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",40,Nombre total de groupes
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",41,Méthode de groupement (voir la table de code 4.8)
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",42-45,Latitude Nord du domaine du groupe
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",46-49,Latitude Sud du domaine du groupe
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",50-53,Longitude Est du domaine du groupe
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",54-57,Longitude Ouest du domaine du groupe
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",58,Nc - Nombre de prévisions dans le groupe
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",59,Facteur d'échelle - écart type dans le groupe
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",60-63,Valeur ajustée - écart type dans le groupe
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",64,Facteur d'échelle - écart entre le groupe et la moyenne de l'ensemble
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",65-68,Valeur ajustée - écart entre le groupe et la moyenne de l'ensemble
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",69-70,Fin de l'intervalle de temps complet - Année
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",71,Fin de l'intervalle de temps complet - Mois
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",72,Fin de l'intervalle de temps complet - Jour
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",73,Fin de l'intervalle de temps complet - Heure
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",74,Fin de l'intervalle de temps complet - Minute
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",75,Fin de l'intervalle de temps complet - Seconde
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",76,n Nombre des spécifications décrivant les intervalles de temps sur lesquels porte le calcul statistique du champ
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",77-80,Nombre total de valeurs manquantes dans le calcul statistique
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",81-92,Spécification de l'intervalle de temps le plus éloigné (ou intervalle de temps unique) sur lequel porte le calcul statistique
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",81,Calcul statistique ayant permis d'obtenir le champ élaboré à partir du champ à chaque incrément de temps durant l'intervalle de temps (voir la table de code 4.10)
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",82,Type d'incrément de temps entre les champs successifs employé pour le calcul statistique (voir la table de code 4.11)
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",83,Indicateur de l'unité de temps employée pour l'intervalle de temps sur lequel porte le calcul statistique (voir la table de code 4.4)
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",84-87,"Durée de l'intervalle de temps sur lequel porte le calcul statistique, exprimée dans l'unité indiquée par l'octet précédent"
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",88,Indicateur de l'unité de temps employée pour l'incrément de temps entre les champs successifs (voir la table de code 4.4)
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",89-92,"Incrément de temps entre les champs successifs, exprimé dans l'unité indiquée par l'octet précédent (voir les notes 3 et 4)"
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",93-nn,"Ces octets figurent dans le message uniquement si n>1, nn = 80 + 12 x n"
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",93-104,"Même contenu que les octets 81 à 92, pour l'étape suivante du calcul"
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",105-nn,"Spécifications des intervalles de temps supplémentaires, incluses en fonction de la valeur de n. Le contenu est le même que celui des octets 81 à 92, répétés au besoin."
"Modèle de définition du produit 4.13 – Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",(nn+1)-(nn+ Nc),Liste des Nc prévisions d'ensemble (la valeur de Nc est donnée à l'octet 58)
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",10,Catégorie du paramètre (voir la table de code 4.1)
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",11,Numéro du paramètre (voir la table de code 4.2)
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",12,Type du processus de production (voir la table de code 4.3)
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",13,Indicateur du processus de production de base (défini par le centre d'origine)
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",14,Indicateur du processus de production de la prévision (défini par le centre d'origine)
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",15-16,Limite (heures) de tombée des données d'observation après l'heure de référence (voir la note 1)
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",17,Limite (minutes) de tombée des données d'observation après l'heure de référence
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",18,Indicateur d'unité de l'intervalle de temps (voir la table de code 4.4)
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",19-22,Heure de la prévision exprimée dans l'unité précisée par l'octet 18 (voir la note 2)
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",23,Type de la première surface spécifiée (voir la table de code 4.5)
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",24,Facteur d'échelle - première surface spécifiée
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",25-28,Valeur ajustée - première surface spécifiée
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",29,Type de la deuxième surface spécifiée (voir la table de code 4.5)
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",30,Facteur d'échelle - deuxième surface spécifiée
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",31-34,Valeur ajustée - deuxième surface spécifiée
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",35,Prévision dérivée (voir la table de code 4.7)
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",36,Nombre de prévisions dans l'ensemble (N)
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",37,Indicateur de groupe
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",38,Numéro du groupe auquel appartient la commande de haute résolution
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",39,Numéro du groupe auquel appartient la commande de basse résolution
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",40,Nombre total de groupes
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",41,Méthode de groupement (voir la table de code 4.8)
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",42-45,Latitude du point central dans le domaine du groupe
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",46-49,Longitude du point central dans le domaine du groupe
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",50-53,Rayon du domaine du groupe
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",54,Nc - nombre de prévisions dans le groupe
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",55,Facteur d'échelle - écart type dans le groupe
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",56-59,Valeur ajustée - écart type dans le groupe
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",60,Facteur d'échelle - écart entre le groupe et la moyenne de l'ensemble
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",61-64,Valeur ajustée - écart entre le groupe et la moyenne de l'ensemble
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",65-66,Fin de l'intervalle de temps complet - Année
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",67,Fin de l'intervalle de temps complet - Mois
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",68,Fin de l'intervalle de temps complet - Jour
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",69,Fin de l'intervalle de temps complet - Heure
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",70,Fin de l'intervalle de temps complet - Minute
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",71,Fin de l'intervalle de temps complet - Seconde
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",72,n Nombre des spécifications décrivant les intervalles de temps sur lesquels porte le calcul statistique du champ
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",73-76,Nombre total de valeurs manquantes dans le calcul statistique
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",77-88,Spécification de l'intervalle de temps le plus éloigné (ou intervalle de temps unique) sur lequel porte le calcul statistique
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",77,Calcul statistique ayant permis d'obtenir le champ élaboré à partir du champ à chaque incrément de temps durant l'intervalle de temps (voir la table de code 4.10)
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",78,Type d'incrément de temps entre les champs successifs employé pour le calcul statistique (voir la table de code 4.11)
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",79,Indicateur de l'unité de temps employée pour l'intervalle de temps sur lequel porte le calcul statistique (voir la table de code 4.4)
"Modèle de définition du produit 4.14 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",80-83,"Durée de l'intervalle de temps sur lequel porte le calcul statistique, exprimée dans l'unité indiquée par l'octet précédent"
